"V1","V2","V3"
0.773727259365842,0.415990915062139,0.383273240207927
0.249335678294301,0.457268048630795,0.307608375354903
0.78554079704918,0.803761994437082,0.765453831321793
0.617263947846368,0.277768159081461,0.223376931884559
0.336169662186876,0.597025278751971,0.250097654265119
0.0796934133395553,0.0365492426499259,0.929291722917696
0.916311532957479,0.608818856504513,0.519861398468493
0.123858138220385,0.936681697814493,0.0702420398883987
0.414302156073973,0.805179892078741,0.135257527668728
0.0756020173430443,0.00809888678486459,0.883568759920308
0.990558329503983,0.799376875365851,0.773832554958062
0.964294382138178,0.443487847252982,0.378575913870009
0.540151081280783,0.530095435300609,0.530827888724161
0.879839603323489,0.0285694347403478,0.00536799701512791
0.362697953823954,0.923190572793828,0.0144343443971593
0.0573796120006591,0.0283624747244176,0.920229422015836
0.621353635564446,0.599687130044913,0.616333360347198
0.0245410760398954,0.218996748008067,0.568021565763047
0.832004833733663,0.99691685612197,0.985906782239908
0.58446665504016,0.304513551091077,0.306624996854225
0.702122622868046,0.912217905250145,0.849504332320066
0.319159177131951,0.612309485004516,0.21414405797259
0.483263659058139,0.728559523326112,0.266010969382478
0.107966445153579,0.543897322408156,0.265774955129018
0.965827585663646,0.763647748011863,0.713116590370191
0.58709356165491,0.796426893590251,0.827726300194627
0.80777002661489,0.569165144785075,0.510402199957753
0.643257609801367,0.562384248391027,0.535212758550188
0.269576792372391,0.760792156535899,0.173387845308753
0.844107648124918,0.852037537173601,0.810589504108066
0.841735125053674,0.54141787943081,0.460275288234698
0.187060294905677,0.620914154889761,0.176639104698552
0.306888892082497,0.995540013740538,0.0299185139301699
0.462168869562447,0.886759436310967,0.0735366159642581
0.0363475375343114,0.958801296626916,0.00137565328623168
0.0974840570706874,0.269114370195894,0.333411957632052
0.726657880702987,0.354985955491429,0.229541894659633
0.998580338899046,0.509329808846815,0.391118370898766
0.0299816571641713,0.219945367163746,0.463968225667486
0.3944726746995,0.475810025673127,0.493163365958026
0.350216417107731,0.556381959671853,0.344684140960453
0.840467915870249,0.992440531350439,0.997342074435437
0.0388706545345485,0.00527193365269341,0.989019625209039
0.402093890821561,0.91490942708333,0.0797421945317183
0.62063481612131,0.515621492842911,0.518277525814483
0.957229932304472,0.557752074062591,0.464769712387351
0.186846987577155,0.583558866899693,0.247732765477849
0.893494902877137,0.723335036222124,0.714458654838381
0.539014467503875,0.434279900771799,0.318841191678075
0.307641955558211,0.286267072515329,0.547970268497011
0.492327281273901,0.750723605015082,0.218340500461636
