"V1","V2","V3","V4"
0.565045665245537,0.746467280168843,0.445696039125323,0.444317079575762
0.368782219965421,0.508219098611946,0.342802430735901,0.638691160730638
0.988777023470403,0.983425282722189,0.910318488487974,0.994077290769692
0.0376307104383203,0.0262400307219577,0.025465359678492,0.103837361563587
0.679512817655685,0.741550644402353,0.44507321738638,0.592385660886638
0.385626306795442,0.397380041855836,0.535440046107396,0.477538013324642
0.175474230913908,0.459890423471368,0.485176047077402,0.217052775863668
0.796195100158952,0.24785374421584,0.575308693107218,0.249503812640939
0.310800037120962,0.210893487943781,0.570239449385554,0.24268446518428
0.799052824832845,0.832964282678332,0.903472102014348,0.600300191378484
0.281226932042732,0.302956403098236,0.593253000173718,0.520238023056484
0.631990769022128,0.461190757923799,0.608606491936371,0.77343538964682
0.784860359251925,0.355962989892987,0.0506892199628055,0.97450087865384
0.137709868055284,0.170408867957849,0.380593524081632,0.237406405192591
0.750531651434493,0.779885946908957,0.79976916546002,0.658713689799442
0.0411706584361431,0.0364913254722275,0.0950563584920019,0.0687032436619397
0.35021179497676,0.801398591509636,0.544661486987025,0.667303592756822
0.206320411129007,0.168549247018691,0.137176931137219,0.300890728375027
0.919445578242013,0.942242236739756,0.961220417171717,0.734551215565155
0.633458794728125,0.635246015986105,0.592808065004647,0.823624499545284
0.965389250055363,0.901200250234672,0.81628616922535,0.974366434855111
0.552184588459703,0.732245485592632,0.845313490135595,0.32446973507412
0.955147375985288,0.968742007279794,0.972496853210032,0.866959465493795
0.559511217743132,0.817276388145352,0.69283752865158,0.394561763130186
0.47069480985011,0.524198886610496,0.772822179831564,0.257590211402678
0.578089459972245,0.828389465632948,0.679811251815408,0.421342752462261
0.506841428301318,0.67443696231973,0.903532179072499,0.183339328641364
0.160001778615216,0.192513484595956,0.327956203604117,0.112034735524717
0.264994958633671,0.50120001214703,0.415272465208545,0.563293775540566
0.417867708522328,0.277761471941807,0.413074469193816,0.215884790955808
0.607777466815821,0.737547376340722,0.753328728489578,0.405396583692669
0.324159465971415,0.52793500569895,0.424402621341869,0.608924332573491
0.67851222903779,0.672396410896158,0.659913570154458,0.693693641086832
0.0299156627057502,0.0879031240775213,0.692619483917952,0.0129660341407446
0.0841750861100851,0.0734556534993307,0.077161458786577,0.166890413513675
0.977543696781741,0.983247850580514,0.98853853950277,0.890457004163562
0.272721235708459,0.228018306872532,0.200014281319454,0.323254768433533
0.931304689150217,0.928417573757129,0.895381160546094,0.924160676378789
0.98258563140836,0.970967076557643,0.946906577795744,0.984078560962919
0.894648654607437,0.886734991775361,0.892899490194395,0.774906674818493
0.684692524926773,0.70609140767238,0.658879993483424,0.684660985639568
0.353903982410063,0.297402161132084,0.275519018061459,0.39480183717919
0.690685230729034,0.848614901009385,0.766486783279106,0.509400522728052
0.630065768262137,0.605487028844615,0.608473102562129,0.487104581004985
0.711513897525485,0.517800924401391,0.054280704818666,0.780374438802877
